fiscal_quarter,revenue_guidance_mid_usd_m,guidance_range,source
2023Q1,468,466-470,Q4 2022 earnings release
2023Q2,500,498-502,Q1 2023 earnings release
2023Q3,523,~523 midpoint,Q2 2023 earnings call
2023Q4,566,564-568,Q3 2023 earnings release
2024Q1,589,587-591,Q4 2023 earnings release
2024Q2,622,620-624,Q1 2024 earnings release
2024Q3,662,660-664,Q2 2024 earnings release
2024Q4,711,709-713,Q3 2024 earnings release
2025Q1,739,737-741,Q4 2024 earnings release
2025Q3,849,847-851,Q2 2025 earnings release
2025Q4,914,912-916,Q3 2025 earnings release
2026Q1,956,951-961,Q4 2025 earnings release
2026Q2,1075,1070-1080,Q1 2026 earnings release
2026Q3,1140,1135-1145,Q2 2026 earnings release forward guidance for the target quarter
