quarter,fiscal_quarter,period_end,reported_date_approx,revenue_usd_m,revenue_yoy_pct,billings_usd_m,rpo_usd_m,dbnr_rate_pct,customers_arr_ge_100k,total_customers_k,customers_arr_1m,crpo_growth_pct,multi_product_4plus_pct,confidence,notes,rpo_yoy_pct,customers_arr_100k_yoy_pct,dbnr_qoq_change,net_new_arr_usd_m,revenue_guidance_mid_usd_m,guidance_beat_pct,gt_datadog_qmean,gt_datadog_pricing_qmean,gt_datadog_login_qmean,gt_datadog_vs_new_relic_qmean,gt_datadog_vs_splunk_qmean,gt_datadog_careers_qmean,gt_datadog_qend,gt_datadog_pricing_qend,gt_datadog_login_qend,gt_datadog_vs_new_relic_qend,gt_datadog_vs_splunk_qend,gt_datadog_careers_qend,gt_datadog_yoy,gt_datadog_pricing_yoy,gt_datadog_login_yoy,gt_datadog_vs_new_relic_yoy,gt_datadog_vs_splunk_yoy,gt_datadog_careers_yoy,npm_browser_logs_qmean,npm_browser_rum_qmean,npm_dd_trace_qmean,npm_browser_logs_qend,npm_browser_rum_qend,npm_dd_trace_qend,npm_browser_logs_yoy,npm_browser_rum_yoy,npm_dd_trace_yoy,aws_rev_usd_m,aws_growth_yoy_pct,msft_intelligent_cloud_usd_m,azure_growth_yoy_pct,gcp_rev_usd_m,gcp_growth_yoy_pct,aws_rev_usd_m_yoy,msft_intelligent_cloud_usd_m_yoy,gcp_rev_usd_m_yoy
2021Q1,2021Q1,2021-03-31,2021-05-06,198.5,73.8,,,,1437.0,,,,,medium,Revenue cross-checked against full-year 2021 total rather than the 8-K directly; customer count has a small (~2%) discrepancy vs. a later comparator figure (1406) and uses the directly-reported value.,,,,,,,11.333333333333334,3.6666666666666665,9.333333333333334,10.666666666666666,10.666666666666666,3.0,12.0,4.0,9.0,10.0,16.0,2.5,-35.84905660377359,-47.61904761904761,-39.13043478260869,-23.809523809523814,-39.62264150943396,-57.14285714285714,14758.133333333333,21283.855555555554,92951.75555555556,30715.5,41856.5,147071.0,1274.8312244925814,1508.4363964851768,248.14896126949373,,,,,,,,,
2021Q2,2021Q2,2021-06-30,2021-08-05,233.5,66.8,,583.0,,1610.0,,,,,medium,Same revenue cross-check basis as 2021Q1; customer count has a small (~3%) discrepancy vs. a later comparator figure (1570) and uses the directly-reported value.,,,,140.0,,,11.0,4.0,7.666666666666667,9.333333333333334,12.0,3.6666666666666665,11.0,4.0,8.0,9.5,7.5,4.0,-48.4375,-60.0,-56.60377358490566,-34.883720930232556,-34.54545454545455,-59.25925925925925,20134.46153846154,28979.0,100430.71428571429,26095.5,45982.5,152202.0,460.5962605212996,501.70420060693186,196.312369277936,,,,,,,,,
2021Q3,2021Q3,2021-09-30,2021-11-04,270.5,75.0,,718.6,,1800.0,,,,,medium,Same revenue cross-check basis as 2021Q1. An automated data pull mislabeled this quarter's revenue as Q1 2021 during retrieval; corrected using the full-year total.,,,,148.0,,,10.666666666666666,4.0,9.333333333333334,12.333333333333334,7.333333333333333,4.333333333333333,11.0,4.0,10.0,10.0,11.0,5.0,-54.929577464788736,-60.0,-41.666666666666664,-45.58823529411765,-73.17073170731707,-45.833333333333336,21159.271739130436,35435.90217391304,159652.96739130435,33394.0,65342.5,270221.0,195.19520931205895,214.86897614797985,130.73963561918598,,,,,,,,,
2021Q4,2021Q4,2021-12-31,2022-02-10,326.2,83.7,,,,2010.0,,,,,medium,Same revenue cross-check basis as 2021Q1. RPO not found.,,,,222.79999999999995,,,12.666666666666666,3.3333333333333335,13.0,6.0,9.666666666666666,4.666666666666667,13.0,3.0,14.0,4.5,6.0,4.5,18.75,-9.090909090909083,34.48275862068966,-30.76923076923076,-43.13725490196079,16.666666666666675,43653.586956521736,65531.52173913043,166127.21739130435,26029.5,35055.0,57730.0,396.2964336027285,318.7410749509643,142.17601358899316,,,,,,,,,
2022Q1,2022Q1,2022-03-31,2022-05-05,363.3,83.0,,857.9,,2250.0,,,,,medium,Same revenue cross-check basis as 2021Q1. RPO and customer count confirmed.,,56.576200417536526,,148.4000000000001,,,20.333333333333332,6.666666666666667,16.666666666666668,15.333333333333334,26.333333333333332,8.0,22.0,7.5,18.0,16.0,28.5,8.5,79.41176470588233,81.81818181818184,78.57142857142858,43.75000000000002,146.875,166.66666666666666,61885.044444444444,99115.28888888888,181620.48888888888,98717.0,159743.5,266509.5,319.32840046016054,365.68296157703253,95.39220943528888,,,,,,,,,
2022Q2,2022Q2,2022-06-30,2022-08-04,406.1,73.9,,881.4,,2420.0,,,,,medium,Same revenue cross-check basis as 2021Q1. RPO and customer count confirmed.,51.18353344768438,50.31055900621118,,171.20000000000005,,,32.333333333333336,13.0,25.333333333333332,21.0,27.666666666666668,11.333333333333334,33.0,13.0,25.5,22.0,30.0,11.5,193.93939393939394,225.0,230.4347826086956,125.0,130.55555555555557,209.09090909090912,75166.8021978022,124482.97802197802,193943.82417582418,113293.0,179102.0,286023.5,273.32412418487576,329.5627110044447,93.11206293333274,,,,,,,,,
2022Q3,2022Q3,2022-09-30,2022-11-03,436.5,61.4,,941.0,,2600.0,,,,,medium,Same revenue cross-check basis as 2021Q1. This is roughly when cloud-cost optimization commentary begins.,30.949067631505713,44.44444444444444,,121.59999999999991,,,32.666666666666664,15.0,29.666666666666668,21.0,24.0,13.0,34.0,15.5,30.5,22.0,25.0,13.0,206.25,275.0,217.85714285714283,70.27027027027026,227.27272727272728,200.0,86057.85869565218,135527.55434782608,214228.94565217392,112910.5,190941.5,300356.0,306.714653304929,282.45831496734917,34.18413021231581,,,,,,,,,
2022Q4,2022Q4,2022-12-31,2023-02-16,469.4,43.9,536.0,1060.0,,2780.0,,,,,medium,Same revenue cross-check basis as 2021Q1. Billings confirmed.,,38.30845771144278,,131.5999999999999,,,31.0,14.0,27.0,21.0,23.333333333333332,15.333333333333334,30.5,13.5,27.5,20.5,23.5,15.0,144.73684210526318,320.0,107.69230769230771,250.0,141.3793103448276,228.57142857142856,85076.84782608696,148075.61956521738,232004.55434782608,24636.0,39698.5,66875.5,94.89085263674235,125.96090497437342,39.6547525390442,,,,,,,,,
2023Q1,2023Q1,2023-03-31,2023-05-04,481.71,25.44,511.0,1138.3,,2910.0,25.5,,,,high,Revenue RPO billings and customer count confirmed. NRR not filled.,32.68446205851498,29.33333333333332,,49.24000000000001,468.0,2.929487179487178,36.333333333333336,16.666666666666668,36.333333333333336,20.666666666666668,25.0,17.333333333333332,38.0,18.0,36.5,20.0,28.0,16.0,78.68852459016395,150.0,118.00000000000001,34.78260869565217,-5.0632911392405,116.66666666666666,99921.76666666666,172130.1222222222,282636.7444444444,138805.5,239805.5,420364.0,61.46351281426099,73.66656966029235,55.619416164745,21354.0,,,,,,,,
2023Q2,2023Q2,2023-06-30,2023-08-08,509.46,25.43,,1252.5,,2990.0,26.1,,,,high,Revenue RPO and customer count confirmed. Billings and NRR not filled.,42.10347174948945,23.553719008264462,,111.0,500.0,1.8920000000000048,35.0,17.333333333333332,33.0,20.0,27.0,17.0,36.5,18.0,31.5,21.5,28.0,17.5,8.247422680412363,33.33333333333333,30.263157894736857,-4.761904761904767,-2.4096385542168752,50.0,94264.17582417582,183997.56043956045,303697.56043956045,129324.0,222636.0,374565.5,25.40665967952007,47.80941407673816,56.59047754170121,22140.0,,,,,,,,
