week,gt_datadog,gt_datadog_pricing,gt_datadog_login,gt_datadog_vs_new_relic,gt_datadog_vs_splunk,gt_datadog_careers
2018-01-01,8,3,7,12,0,3
2018-02-01,9,5,9,13,0,4
2018-03-01,9,5,13,14,15,4
2018-04-01,9,5,9,11,12,4
2018-05-01,9,5,9,20,0,4
2018-06-01,10,5,6,20,0,5
2018-07-01,10,6,9,13,0,5
2018-08-01,10,4,12,9,0,4
2018-09-01,10,5,0,12,0,5
2018-10-01,11,6,10,13,12,4
2018-11-01,11,6,0,9,13,3
2018-12-01,9,4,0,14,0,3
2019-01-01,11,7,10,12,12,5
2019-02-01,12,7,10,17,0,4
2019-03-01,12,6,9,16,0,6
2019-04-01,12,6,9,16,12,3
2019-05-01,14,7,12,18,12,4
2019-06-01,14,8,11,15,14,6
2019-07-01,15,9,9,18,15,4
2019-08-01,15,8,12,18,18,5
2019-09-01,24,10,17,19,20,8
2019-10-01,19,8,14,14,13,6
2019-11-01,17,7,13,14,31,6
2019-12-01,13,6,12,15,18,4
2020-01-01,17,7,11,11,14,6
2020-02-01,19,7,21,14,26,8
2020-03-01,17,7,14,17,13,7
2020-04-01,18,11,16,9,12,9
2020-05-01,22,9,21,17,24,8
2020-06-01,24,10,16,17,19,10
2020-07-01,22,11,18,28,27,8
2020-08-01,27,10,17,22,29,7
2020-09-01,22,9,13,18,26,9
2020-10-01,13,5,10,16,16,6
2020-11-01,10,3,13,0,12,3
2020-12-01,9,3,6,10,23,3
2021-01-01,10,3,10,12,0,4
2021-02-01,12,4,9,8,14,2
2021-03-01,12,4,9,12,18,3
2021-04-01,11,4,7,9,21,3
2021-05-01,11,4,7,8,0,4
2021-06-01,11,4,9,11,15,4
2021-07-01,10,4,8,17,0,3
2021-08-01,11,3,10,10,22,4
2021-09-01,11,5,10,10,0,6
2021-10-01,12,4,11,9,17,5
2021-11-01,14,3,17,9,0,5
2021-12-01,12,3,11,0,12,4
2022-01-01,17,5,14,14,22,7
2022-02-01,21,7,13,16,34,8
2022-03-01,23,8,23,16,23,9
2022-04-01,31,13,25,19,23,11
2022-05-01,33,12,28,21,30,10
2022-06-01,33,14,23,23,30,13
2022-07-01,30,14,28,19,22,13
2022-08-01,35,16,33,23,24,13
2022-09-01,33,15,28,21,26,13
2022-10-01,32,15,26,22,23,16
2022-11-01,33,15,30,23,21,16
2022-12-01,28,12,25,18,26,14
2023-01-01,33,14,36,22,19,20
2023-02-01,37,18,34,23,29,16
2023-03-01,39,18,39,17,27,16
2023-04-01,32,16,36,17,25,16
2023-05-01,36,17,30,21,29,16
2023-06-01,37,19,33,22,27,19
2023-07-01,36,14,31,23,20,16
2023-08-01,38,16,31,20,27,17
2023-09-01,34,16,27,20,28,15
2023-10-01,36,15,27,25,26,17
2023-11-01,37,15,31,16,22,17
2023-12-01,30,13,31,20,11,14
2024-01-01,37,14,32,11,18,37
2024-02-01,45,19,43,21,21,32
2024-03-01,42,19,39,18,23,23
2024-04-01,42,18,46,21,21,22
2024-05-01,41,19,40,14,14,19
2024-06-01,42,18,35,20,18,21
2024-07-01,45,19,50,19,23,36
2024-08-01,43,17,36,16,22,27
2024-09-01,42,20,38,15,26,32
2024-10-01,44,20,41,20,25,25
2024-11-01,46,18,34,17,20,25
2024-12-01,36,17,36,12,18,18
2025-01-01,41,17,33,10,24,28
2025-02-01,48,22,48,15,24,36
2025-03-01,47,20,46,12,22,29
2025-04-01,45,20,50,11,20,29
2025-05-01,44,23,41,18,25,23
2025-06-01,49,25,47,23,29,22
2025-07-01,57,27,67,28,30,30
2025-08-01,100,100,88,41,37,53
2025-09-01,83,74,76,39,48,51
2025-10-01,82,58,77,42,48,40
2025-11-01,74,70,65,43,36,40
2025-12-01,51,55,51,73,54,30
2026-01-01,56,58,44,62,76,38
2026-02-01,75,76,67,91,79,44
2026-03-01,72,85,67,91,83,60
2026-04-01,73,82,68,100,100,71
2026-05-01,79,72,81,63,74,71
2026-06-01,89,76,100,71,81,100
2026-07-01,87,51,63,58,51,70
2026-08-01,46,23,39,16,19,51
2026-09-01,40,18,39,21,20,37
